HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,subjects,genres,title,firstpub,Jgenre,Present,,,,,,,,,
uc2.ark:/13960/t3tt4h68m,7660270,319991207,<blank>,"Goldsmith, Oliver,",London,1793,1793,1793,<blank>,<blank>,Unknown,The vicar of Wakefield,1766,fic,y,,,,,,,
mdp.39015078550053,1369124,4069553,<blank>,"Defoe, Daniel,","London;Printed by J. Gold, and published by J. Mawman;1815.",1815,<blank>,<blank>,Unknown,biog?,Robinson Crusoe,1719,fic,y,,,,,,,,
mdp.39015025543672,3336367,4925870,PR4300.1870.K4,"Burns, Robert,","Kilmarnock;Printed by J. Wilson;1786.;Montreal;Kilmarnock printed, R. Worthington;1870",1786,<blank>,<blank>,Not fiction,"Poems, chiefly in the Scottish dialect",1786,poe,y,,,,,,,,,
mdp.39015078565317,1423715,23638804,<blank>,"Swift, Jonathan,",London,1765,1765,1765,v.1,<blank>,Unknown,biog?,... Capt. Lemuel Gulliver's travels into several remote nations of the world,1726,fic,y,,,,,,
mdp.39015078565465,1423715,23638804,<blank>,"Swift, Jonathan,",London,1765,1765,1765,v.2,<blank>,Unknown,biog?,... Capt. Lemuel Gulliver's travels into several remote nations of the world,1726,fic,y,,,,,,
njp.32101073253690,9012635,42847423,<blank>,<blank>,Edinburgh,1802,1802,1802,v.1,<blank>,Not fiction,Arabian Night's entertainments,1706,fic,y,,,,,,,
njp.32101073253666,9012635,42847423,<blank>,<blank>,Edinburgh,1802,1802,1802,v.4,<blank>,Not fiction,Arabian Night's entertainments,1706,fic,y,,,,,,,
njp.32101073253682,9012635,42847423,<blank>,<blank>,Edinburgh,1802,1802,1802,v.2,<blank>,Not fiction,Arabian Night's entertainments,1706,fic,y,,,,,,,
njp.32101073253674,9012635,42847423,<blank>,<blank>,Edinburgh,1802,1802,1802,v.3,<blank>,Not fiction,Arabian Night's entertainments,1706,fic,y,,,,,,,
uc2.ark:/13960/t90864f56,9260939,4886899,E302.6.F7A2 1793,"Franklin, Benjamin,","London;Printed for J. Parsons, no. 2l, Pater-Noster Row.;1793.",1793,<blank>,<blank>,Not fiction,The private life of the late Benjamin Franklin,1791,bio,y,,,,,,,,,
nyp.33433074817648,8618300,4711964,<blank>,"Irving, Washington,",London,1820,1820,1820,v. 1,<blank>,Not fiction,"The sketch book of Geoffrey Crayon, Gent",1819,fic,y,,,,,,,
nyp.33433074817655,8618300,4711964,<blank>,"Irving, Washington,",London,1820,1820,1820,v. 2,<blank>,Not fiction,"The sketch book of Geoffrey Crayon, Gent",1819,fic,y,,,,,,,
nyp.33433075743207,8670191,37296885,<blank>,"Scott, Walter,",Philadelphia,1823,1823,1823,v. 2,"Richard I, 1189-1199;Great Britain;Fiction;History",Novel,Ivanhoe,,1820,fic,y,,,,,,
nyp.33433075743199,8670191,37296885,<blank>,"Scott, Walter,",Philadelphia,1823,1823,1823,v. 1,"Richard I, 1189-1199;Great Britain;Fiction;History",Novel,Ivanhoe,,1820,fic,y,,,,,,
hvd.hn2rru,9721263,5701731,<blank>,"Scott, Walter,",Philadelphia,1821,1821,1821,v.1,<blank>,Fiction,Kenilworth,1821,fic,y,,,,,,,
hvd.hn2rsf,9721263,5701731,<blank>,"Scott, Walter,",Philadelphia,1821,1821,1821,v.2,<blank>,Fiction,Kenilworth,1821,fic,y,,,,,,,
hvd.32044097914220,9718630,7929246,<blank>,"Cooper, James Fenimore,",New York,1824,1824,1824,v.2,<blank>,Fiction,The spy,1821,fic,y,,,,,,,
hvd.32044080902265,9718630,7929246,<blank>,"Cooper, James Fenimore,",New York,1824,1824,1824,v.1,<blank>,Fiction,The spy,1821,fic,y,,,,,,,
uc1.b4105457,6156316,33263019,<blank>,"Cooper, James Fenimore,",London,1834,1834,1834,<blank>,<blank>,Not fiction,The last of the Mohicans,,1826,fic,y,,,,,,
mdp.39015078574335,1423409,6098734,<blank>,"Wyss, Johann David,","London;Printed for M.J. Godwin and co., at the Juvenile library;1818.",1818,v.1,"Voyages, Imaginary",Unknown,biog?,The Swiss family Robinson,1812,fic,y,,,,,,,,
mdp.39015078574327,1423409,6098734,<blank>,"Wyss, Johann David,","London;Printed for M.J. Godwin and co., at the Juvenile library;1818.",1818,v.2,"Voyages, Imaginary",Unknown,biog?,The Swiss family Robinson,1812,fic,y,,,,,,,,
uva.x004490638,9775420,223449,PR4912.A1 1834,"Lytton, Edward Bulwer Lytton,",New York,1834,1834,1834,v.1,Pompeii (Extinct city),Fiction,Not fiction,The last days of Pompeii,1834,fic,y,,,,,,
uva.x004490639,9775420,223449,PR4912.A1 1834,"Lytton, Edward Bulwer Lytton,",New York,1834,1834,1834,v.2,Pompeii (Extinct city),Fiction,Not fiction,The last days of Pompeii,1834,fic,y,,,,,,
nyp.33433074954169,8664684,1368772,<blank>,"Dickens, Charles,",Philadelphia,1839,1839,1839,<blank>,<blank>,Not fiction,Oliver Twist,1838,fic,y,,,,,,,
uc2.ark:/13960/t77s7js69,7649088,361612568,PZ3.P752Pro,"Poe, Edgar Allan,",New York,1878,1878,1878,<blank>,<blank>,Autobiography,Not fiction,The prose tales of Edgar Allan Poe,1840,fic,y,,,,,,
yale.39002014432901,9832016,6537033,<blank>,"Dana, Richard Henry,",London,1841,1841,1841,<blank>,"Presentation inscription to S. P. Lucas;1800-1850;Sailors;Seafaring life;Presentation inscription from R.H. Dana;Voyages and travels;Dana, Richard Henry;Lucas, Sarah Phoebe;1815-1882",Not fiction,Two years before the mast,1840,bio,y,,,,,,,
uva.x000427966,9793434,8205899,<blank>,"Cooper, James Fenimore,",New York,1861,1861,1861,<blank>,<blank>,Not fiction,The deerslayer,,1841,fic,y,,,,,,
uc2.ark:/13960/t0zp3z764,7657785,319973521,<blank>,"Dickens, Charles,",London,1840,1840?,1840,<blank>,<blank>,Unknown,The old curiosity shop,1841,fic,y,,,,,,,
hvd.ah63va,5261119,3778020,PS1608.A2 1841,"Emerson, Ralph Waldo,",Boston,1841,1841,1841,<blank>,Essays,Not fiction,Essays,1841,non,y,,,,,,,
nyp.33433074955141,8663571,8605124,<blank>,"Tennyson, Alfred Tennyson,",Boston,1846,1846,1846,v. 2,English poetry,Poetry,Poems,1842,poe,y,,,,,,,
nyp.33433074955158,8663571,8605124,<blank>,"Tennyson, Alfred Tennyson,",Boston,1846,1846,1846,v. 1,English poetry,Poetry,Poems,1842,poe,y,,,,,,,
uc2.ark:/13960/t1bk18d1k,7657015,4313023,PZ3.D55Chr 16,"Dickens, Charles,",Boston,1869,1869,1869,<blank>,<blank>,Fiction,A Christmas carol in prose,1843,fic,y,,,,,,,
uva.x030825552,9792974,47656876,<blank>,"Dumas, Alexandre,",Boston,1893,1893,1893,v.1 1893,"Fiction;Louis XIII, 1610-1643;History;France",Fiction,The three musketeers,1844,fic,y,,,,,,,
uva.x030825549,9792974,47656876,<blank>,"Dumas, Alexandre,",Boston,1893,1893,1893,v.2 1893,"Fiction;Louis XIII, 1610-1643;History;France",Fiction,The three musketeers,1844,fic,y,,,,,,,
uc2.ark:/13960/t9p27542n,7698091,2146440,PZ3.D89Cou6,"Dumas, Alexandre,","London;New York;G. Routledge and Sons;1888, c1887.",1888,v.4,<blank>,Fiction,The Count of Monte-Cristo,1844,fic,y,,,,,,,,,
uc2.ark:/13960/t6h139244,7698091,2146440,PZ3.D89Cou6,"Dumas, Alexandre,","London;New York;G. Routledge and Sons;1888, c1887.",1888,v.2,<blank>,Fiction,The Count of Monte-Cristo,1844,fic,y,,,,,,,,,
uc2.ark:/13960/t6d226c5f,7698091,2146440,PZ3.D89Cou6,"Dumas, Alexandre,","London;New York;G. Routledge and Sons;1888, c1887.",1888,v.1,<blank>,Fiction,The Count of Monte-Cristo,1844,fic,y,,,,,,,,,
uc2.ark:/13960/t1dj5pz4z,7698091,2146440,PZ3.D89Cou6,"Dumas, Alexandre,","London;New York;G. Routledge and Sons;1888, c1887.",1888,v.3,<blank>,Fiction,The Count of Monte-Cristo,1844,fic,y,,,,,,,,,
uc2.ark:/13960/t32235s0f,7698091,2146440,PZ3.D89Cou6,"Dumas, Alexandre,","London;New York;G. Routledge and Sons;1888, c1887.",1888,v.5,<blank>,Fiction,The Count of Monte-Cristo,1844,fic,y,,,,,,,,,
loc.ark:/13960/t01z4s291,9599097,<blank>,PS2250.E46a,"Longfellow, Henry Wadsworth,",Philadelphia,1846,1846,1846,<blank>,<blank>,Not fiction,Poems,1846,poe,y,,,,,,,
uva.x000539164,9783055,21351601,<blank>,"Andersen, H. C.",New York,1876,1876,1876,<blank>,Fairy tales,Juvenile audience,Not fiction,Fairy tales,1835,fic,y,,,,,,
nyp.33433074930177,8667795,37213172,<blank>,"Brontë, Charlotte,",New York,1850,1850,1850,<blank>,English fiction,Fiction,Jane Eyre,1847,fic,y,,,,,,,
nyp.33433075766273,8669299,7407649,<blank>,"Thackeray, William Makepeace,",New York,1848,1848,1848,<blank>,<blank>,Novel,Vanity fair,1847,fic,y,,,,,,,
nyp.33433074931118,420967,7611990,<blank>,"Brontë, Emily,","New York;Harper & Brothers, Publishers, 82 Cliff Street;1848.",1848,<blank>,<blank>,Publishers' bindings (Binding),Publishers' paper bindings (Binding),Tight backs (Binding),Untrimmed edges (Binding),Fiction,Paper bindings (Binding),Printed wrappers (Binding),Wuthering Heights,1847,fic,y,,,
loc.ark:/13960/t8df73g49,11209552,<blank>,F592.P244,"Parkman, Francis,","Boston;Little, Brown, and company;1872.",1872,<blank>,Frontier and pioneer life,Oregon National Historic Trail,Description and travel,Indians of North America,West (U.S.),Not fiction,The Oregon Trail,,1847,non,y,,,,
nnc1.cu11818239,8421555,191229765,PS3250.E49,"Whittier, John Greenleaf,",Boston,1849,1849,1849,<blank>,<blank>,Not fiction,Poems,1849,poe,y,,,,,,,
njp.32101058459064,8908945,50649824,PR4558.A1 1850z,"Dickens, Charles,",Philadelphia,1855,between 1855 and 1857,1855,<blank>,Social life and customs,England,Orphans,Child labor,Fiction,London,Young men,19th century,Fiction,David Copperfield,1850,fic,y
loc.ark:/13960/t0xp7ht8j,9605206,6291792,PS2404.R4 1851,"Marvel, Ik.,",New York,1851,1851,1851,<blank>,<blank>,Not fiction,Reveries of a bachelor,1850,non,y,,,,,,,
uc2.ark:/13960/t10p0ww49,7680433,362799339,<blank>,"Hawthorne, Nathaniel,",Boston,1866,1866,1866,<blank>,<blank>,Unknown,The scarlet letter,1850,fic,y,,,,,,,
njp.32101076477320,9032574,42635564,<blank>,"Warner, Susan,",New York,1851,1851,1851,<blank>,<blank>,Not fiction,"The wide, wide world",1850,fic,y,,,,,,,
uva.x030497933,9793393,15639763,<blank>,"Hawthorne, Nathaniel,","Boston;Osgood;1871, c1851.",1871,<blank>,<blank>,Not fiction,The house of the seven gables,1851,fic,y,,,,,,,,,
nyp.33433074890454,8667113,6561771,<blank>,"Melville, Herman,",Boston,1892,c1892,1892,<blank>,<blank>,Fiction,Moby Dick,1851,fic,y,,,,,,,
uc2.ark:/13960/t47p8x024,7657769,319973506,<blank>,"Dickens, Charles,",London,1853,1853?,1853,<blank>,<blank>,Unknown,Bleak house,1853,fic,y,,,,,,,
uc1.b4145140,6166384,62096043,<blank>,"Stowe, Harriet Beecher,",London,1852,1852,1852,<blank>,United States,Slavery,Fiction,Fiction,Uncle Tom's cabin,1852,fic,y,,,,,
nyp.33433076091820,8662112,19532218,<blank>,"Dickens, Charles,",London,1899,New York,Doubleday & McClure,1899-1903.,1899-1903,Hard Times,English fiction,Fiction,The works of Charles Dickens,1854,fic,y,,,,,
uva.x001687872,9793747,21681478,<blank>,"Holmes, Mary Jane,",New York,1854,1854,1854,<blank>,<blank>,Not fiction,Tempest and sunshine,,1854,fic,y,,,,,,
loc.ark:/13960/t9v12mp30,9578859,<blank>,PS3048.A1 1882,"Thoreau, Henry David,","Boston;Houghton, Mifflin and company;1882.",1882,<blank>,"Social life and customs;Walden Woods (Mass.);Biography;Thoreau, Henry David;Solitude;Wilderness areas;Walden Woods;Homes and haunts;Massachusetts;1817-1862;Authors, American;Natural history;19th century",Not fiction,Walden,1854,non,y,,,,,,,,,
uc2.ark:/13960/t84j0dh7t,7678603,3569500,<blank>,"Bulfinch, Thomas,","Boston;Sanborn, Carter and Bazin;1855.",1855,<blank>,Mythology,Not fiction,The age of fable ,,1855,non,y,,,,,,,,
wu.89094395969,5697082,10237646,PN6081B27 1865,"Bartlett, John,","Boston;Little, Brown and Co.;1863.",1863,<blank>,Quotations,Bibliographies,Not fiction,Familiar quotations,1855,non,y,,,,,,,,
mdp.49015002077973,4550565,123191189,<blank>,"Whitman, Walt,","Philadelphia, Penn.;Rees Welsh;1882.",1882,<blank>,<blank>,Not fiction,Leaves of grass,1855,poe,y,,,,,,,,,
nyp.33433076079973,8658879,9931718,<blank>,"Ingraham, J. H.",New York,1857,1857,1857,<blank>,Jesus Christ,Fiction,Not fiction,"The prince of the house of David, or, Three years in the Holy City",1855,fic,y,,,,,,
nyp.33433076023641,8690814,37130901,<blank>,"Holmes, Mary Jane,","New York;Miller, Orton & Co.;1857.",1857,<blank>,<blank>,Not fiction,Lena Rivers,1856,fic,y,,,,,,,,,
nyp.33433074949359,8589963,37220385,<blank>,"Craik, Dinah Maria Mulock,",New York,1864,1864,1864,<blank>,English fiction,Fiction,"John Halifax, gentleman",1856,fic,y,,,,,,,
uva.x030832526,9793835,5714059,<blank>,"Holmes, Oliver Wendell,","Boston;Houghton, Mifflin;1864, 1881 printing.",1864,<blank>,<blank>,Not fiction,The autocrat of the breakfast table,1858,non,y,,,,,,,,,
mdp.39015020915552,449047,6965985,PZ3.D55Ta 19,"Dickens, Charles,",Boston,1894,Houghton Mifflin company,c1894,1894,<blank>,<blank>,Fiction,A tale of two cities,1859,fic,y,,,,,,
uiuo.ark:/13960/t7mp5q48f,8719440,36034873,<blank>,"Wood, Ellen",London,1862,1862,1862,v.3,<blank>,Fiction,East Lynne,1861,fic,y,,,,,,,
uiuo.ark:/13960/t23b6qf7w,8719440,36034873,<blank>,"Wood, Ellen",London,1862,1862,1862,v.2,<blank>,Fiction,East Lynne,1861,fic,y,,,,,,,
uiuo.ark:/13960/t6ww82d2p,8719440,36034873,<blank>,"Wood, Ellen",London,1862,1862,1862,v.1,<blank>,Fiction,East Lynne,1861,fic,y,,,,,,,
inu.30000105293538,9686302,6080982,PZ8.G882F5,"Grimm, Jacob,",Philadelphia,1898,1898,1898,<blank>,Fairy tales,Germany,Juvenile audience,Not fiction,Fairy tales ,,1812,fic,y,,,,
dul1.ark:/13960/t2q53cb55,10942993,12498839,PZ3.E43Si4,"Eliot, George,","Mobile, Alabama;S.H. Goetzel;1863.",1863,<blank>,<blank>,Fiction,Silas Marner,1861,fic,y,,,,,,,,,
mdp.39015066276455,1212718,3139628,PZ3.H875Mi2,"Hugo, Victor,",New York,1862,1862,1862,v.2 (pt.3-5),<blank>,Fiction,Les misérables,1862,fic,y,,,,,,,
mdp.39015008188404,1212718,3139628,PZ3.H875Mi2,"Hugo, Victor,",New York,1862,1862,1862,<blank>,<blank>,Fiction,Les misérables,1862,fic,y,,,,,,,
uiuo.ark:/13960/t3029cs0k,8720845,13337735,<blank>,"Braddon, M. E.",London,1862,1862,1862,v.1,823M464LA1862,Fiction,Lady Audley's secret,1862,fic,y,,,,,,,
uiuo.ark:/13960/t71v61w5d,8720845,13337735,<blank>,"Braddon, M. E.",London,1862,1862,1862,v.2,823M464LA1862,Fiction,Lady Audley's secret,1862,fic,y,,,,,,,
uiuo.ark:/13960/t3gx4v10k,8720845,13337735,<blank>,"Braddon, M. E.",London,1862,1862,1862,v.3,823M464LA1862,Fiction,Lady Audley's secret,1862,fic,y,,,,,,,
uc2.ark:/13960/t22b8zx1m,7692802,4092210,<blank>,"Southworth, Emma Dorothy Eliza Nevitte,",New York,1851,18--?,"<estimate=""[18--?]"">",<blank>,<blank>,Not fiction,Ishmael,1876,fic,y,,,,,,,
wu.89104493614,7092539,10952453,<blank>,"Southworth, Emma Dorothy Eliza Nevitte,",London,1851,18--?,"<estimate=""[18--?]"">",<blank>,<blank>,Fiction,"Self-raised, or, From the depths",1876,fic,y,,,,,,,
wu.89098020795,123313,4343007,<blank>,"Dodge, Mary Mapes,",New York,1866,1866,1866,<blank>,<blank>,Fiction,Hans Brinker,,1865,fic,y,,,,,,
uc2.ark:/13960/t5p84469b,7658507,6314869,<blank>,"Evans, Augusta J.",New York,1896,c1896.,1896,<blank>,<blank>,Fiction,St. Elmo,1866,fic,y,,,,,,,
mdp.39015062421287,5084988,21932060,<blank>,"Hale, Edward Everett,",Boston,1886,1886,1886,<blank>,<blank>,Short stories,The man without a country,1863,fic,y,,,,,,,
uva.x004152854,9787447,6958548,<blank>,"Carroll, Lewis,",Philadelphia,1896,c1896.,1896,<blank>,<blank>,Fiction,Alice's adventures in Wonderland,1865,fic,y,,,,,,,
uc2.ark:/13960/t4gm82m68,1421435,30743985,<blank>,"Alcott, Louisa May,",Boston,1868,1868-69.,1868-1869,<blank>,<blank>,Unknown,biog?,Little women,,1868,fic,y,,,,,
uc1.b4033957,9644850,22009932,<blank>,Omar Khayyam.,London,1859,1859,1859,<blank>,<blank>,Not fiction,"Rubáiyát of Omar Khayyám, the astronomer-poet of Persia",1859,poe,y,,,,,,,
nyp.33433082170949,8663138,37124379,<blank>,"Aldrich, Thomas Bailey,",London [etc.,1877,1877,1877,<blank>,American fiction,Fiction,The story of a bad boy,1870,fic,y,,,,,,,
mdp.39015047749448,1113050,<blank>,PS1017.L4 1871,"Alcott, Louisa May,",Boston,1871,1871,1871,<blank>,<blank>,Fiction,Little men,1871,fic,y,,,,,,,
uc1.b4104323,6155814,1391714,PZ3.R62B,"Roe, Edward Payson,",New York,1872,1872,1872,<blank>,"Fiction;Fires;Chicago;Great Fire, Chicago, Ill., 1871;Illinois",Fiction,Barriers burned away,1872,fic,y,,,,,,,
uc1.b3472998,6662069,18839131,<blank>,"Eddy, Mary Baker,",Boston,1889,1889 [c1885,1889,<blank>,Christian Science,Not fiction,"Science and health, with key to the Scriptures",1875,non,y,,,,,,,
uc2.ark:/13960/t0ns0vp1d,6662069,18839131,<blank>,"Eddy, Mary Baker,",Boston,1889,1889 [c1885,1889,<blank>,Christian Science,Not fiction,"Science and health, with key to the Scriptures",1875,non,y,,,,,,,
mdp.39015008981394,435131,17644844,<blank>,"Hardy, Thomas,",New York,1895,1895,1895,<blank>,<blank>,Fiction,The return of the native,1878,fic,y,,,,,,,
mdp.39015005473304,664205,4553926,<blank>,"Twain, Mark,",Toronto,1876,1876,1876,<blank>,<blank>,Fiction,The adventures of Tom Sawyer,1876,fic,y,,,,,,,
uva.x030802270,9777962,2423020,BX1751.G5 1877,"Gibbons, James,",Baltimore,1879,1879,1879,<blank>,Doctrines,Catholic authors,Catholic Church,Not fiction,The faith of our fathers,1877,non,y,,,,,
mdp.39015066065213,1775776,2555523,<blank>,"Wallace, Lew,",New York,1880,1880,1880,<blank>,<blank>,Unknown,biog?,Ben Hur,1880,fic,y,,,,,,
mdp.39015024483136,1031529,302220,<blank>,"Sidney, Margaret,",Boston,1881,1881,1881,<blank>,<blank>,biog?,Not fiction,Five little Peppers and how they grew,1881,fic,y,,,,,,
njp.32101068602166,8973700,16408802,<blank>,"Riley, James Whitcomb,",Chicago and,1891,Published by F.T. Neely,c1891.,1891,<blank>,<blank>,Not fiction,Poems,1880,poe,y,,,,,,
uc1.b4088024,6149878,19104872,<blank>,"Spyri, Johanna,",New York,1884,c1884,1884,<blank>,<blank>,Fiction,"Heidi, her years of wandering and learning;",1880,fic,y,,,,,,,
uc2.ark:/13960/t4bp0947s,7707793,4531007,<blank>,"Stevenson, Robert Louis,",New York,1900,1900,1900,<blank>,<blank>,Fiction,Treasure Island,1881,fic,y,,,,,,,
njp.32101068604063,8973739,34196496,<blank>,"Stevenson, Robert Louis,",New York,1891,1891,1891,<blank>,Children's poetry,Not fiction,A child's garden of verses,1885,poe,y,,,,,,,
uc2.ark:/13960/t3cz3334b,1020697,1047775,PZ3.C59A4,"Twain, Mark,",New York,1885,1885,1885,<blank>,<blank>,Not fiction,Adventures of Huckleberry Finn (Tom Sawyer's comrade),1884,fic,y,,,,,,,
uc2.ark:/13960/t4dn4987c,7703773,8425990,<blank>,"Tolstoy, Leo,",New York,1886,1886,1886,v.4,"I;1769-1821;Fiction;Alexander I, 1801-1825;Emperor of the French;Russia;Napoleon;History",Not fiction,War and peace,,1869,fic,y,,,,,,
uc2.ark:/13960/t4jm2dv6w,7703773,8425990,<blank>,"Tolstoy, Leo,",New York,1886,1886,1886,v.6,"I;1769-1821;Fiction;Alexander I, 1801-1825;Emperor of the French;Russia;Napoleon;History",Not fiction,War and peace,,1869,fic,y,,,,,,
uc2.ark:/13960/t7fr04h6m,7703773,8425990,<blank>,"Tolstoy, Leo,",New York,1886,1886,1886,v.1,"I;1769-1821;Fiction;Alexander I, 1801-1825;Emperor of the French;Russia;Napoleon;History",Not fiction,War and peace,,1869,fic,y,,,,,,
uc2.ark:/13960/t7dr30v87,7703773,8425990,<blank>,"Tolstoy, Leo,",New York,1886,1886,1886,v.2,"I;1769-1821;Fiction;Alexander I, 1801-1825;Emperor of the French;Russia;Napoleon;History",Not fiction,War and peace,,1869,fic,y,,,,,,
uc2.ark:/13960/t4hm53c95,9261017,2342355,PZ7.W638B3,"Wiggin, Kate Douglas Smith,","Boston;New York;Houghton, Mifflin and Company;1889.",1889,<blank>,<blank>,Juvenile audience,Fiction,The Birds' Christmas Carol,1887,fic,y,,,,,,,,
uc2.ark:/13960/t58c9t35j,7656366,12203710,<blank>,"Corelli, Marie,",New York,1870,between 1870 and 1920,1870,<blank>,<blank>,Not fiction,Thelma,1887,fic,y,,,,,,,
mdp.39015063973468,783621,9190652,<blank>,"Ward, Mary Augusta","London;Smith, Elder & co.;1888.",1888,v.1,<blank>,Fiction,Robert Elsmere,1888,fic,y,,,,,,,,,
mdp.39015063973450,783621,9190652,<blank>,"Ward, Mary Augusta","London;Smith, Elder & co.;1888.",1888,v.2,<blank>,Fiction,Robert Elsmere,1888,fic,y,,,,,,,,,
mdp.39015063973443,783621,9190652,<blank>,"Ward, Mary Augusta","London;Smith, Elder & co.;1888.",1888,v.3,<blank>,Fiction,Robert Elsmere,1888,fic,y,,,,,,,,,
njp.32101013202740,8883653,19300524,<blank>,"Kipling, Rudyard,",London,1892,1892,(Edinburgh,T. and A. Constable),1892,<blank>,<blank>,Not fiction,Barrack-room ballads,1892,poe,y,,,,,
uc2.ark:/13960/t4qj79244,9360535,10412502,<blank>,"Sewell, Anna,",London,1877,1877,1877,<blank>,Horses,Legends and stories,Juvenile literature,Juvenile audience,Fiction,Black Beauty,1877,fic,y,,,,
uc2.ark:/13960/t02z1ft9x,7707854,78372527,<blank>,"Kipling, Rudyard,",New York,1898,1898,1898,<blank>,<blank>,Not fiction,Plain tales from the hills,1888,fic,y,,,,,,,
mdp.39015000590714,590086,4020252,<blank>,"Jerome, Jerome K.",Bristol,1889,1889,1889,<blank>,<blank>,Fiction,Three men in a boat,1889,fic,y,,,,,,,
mdp.39015049217741,207878,2541507,<blank>,"Doyle, Arthur Conan,",New York,1892,1892,1892,<blank>,<blank>,Fiction,Adventures of Sherlock Holmes,1892,fic,y,,,,,,,
mdp.39015071575776,3197959,2998718,<blank>,"White, Ellen Gould Harmon,","Battle Creek, Mich.;Review and Herald;1898.",1898,<blank>,Salvation,Not fiction,Steps to Christ,1892,non,y,,,,,,,,,
uc1.b266928,6513056,26915166,<blank>,"Saunders, Marshall,",Philadelphia,1896,1896,1896,<blank>,Legends and stories,Dogs,Not fiction,Beautiful Joe,1893,fic,y,,,,,,
ien.35556025375221,10620513,45111533,<blank>,"Harvey, W. H.",Chicago,1894,1894,1894,<blank>,Silver question,Not fiction,Coin's financial school,1894,non,y,,,,,,,
uc1.b296194,6531075,6268512,<blank>,"Smith, Hannah Whitall,",Chicago,1883,Fleming H. Revell,c1883.,1883,<blank>,Faith,Christian life,Not fiction,The Christian's secret of a happy life,1875,non,y,,,,,
mdp.39015006977899,164883,1937066,PZ3.D892T2,"Du Maurier, George,",New York,1894,1894,1894,<blank>,"Quartier latin (Paris, France)",Fiction,Trilby,1894,fic,y,,,,,,,
nyp.33433045280553,8613502,29112633,<blank>,"Cleland, John,",Paris,1888,1888,1888,<blank>,<blank>,Not fiction,Memoirs of Fanny Hill,1748,fic,y,,,,,,,
