year,author,title
1900,"Johnston, Mary",To Have and To Hold
1900,"Cholmondeley, Mary",Red Pottage
1900,"Grant, Robert",Unleavened Bread
1900,"Allen, James Lane",The Reign of Law
1900,"Bacheller, Irving",Eben Holden
1900,"Ford, Paul Leicester",Janice Meredith
1900,"Goss, Charles Frederic",The Redemption of David Corson
1900,"Churchill, Winston",Richard Carvel
1900,"Major, Charles",When Knighthood Was in Flower
1900,"Thompson, Maurice",Alice of Old Vincennes
1901,"Churchill, Winston",The Crisis
1901,"Thompson, Maurice",Alice of Old Vincennes
1901,"Runkle, Bertha",The Helmet of Navarre
1901,"Parker, Gilbert",The Right of Way
1901,"Bacheller, Irving",Eben Holden
1901,"Glyn, Elinor",The Visits of Elizabeth
1901,"MacGrath, Harold",The Puppet Crown
1901,"Hewlett, Maurice",Richard Yea-and-Nay
1901,"McCutcheon, George Barr",Graustark
1901,"Bacheller, Irving",D'ri and I
1902,"Wister, Owen",The Virginian
1902,"Hegan, Alice Caldwell",Mrs. Wiggs of the Cabbage Patch
1902,"Major, Charles",Dorothy Vernon of Haddon Hall
1902,"Hough, Emerson",The Mississippi Bubble
1902,"Johnston, Mary",Audrey
1902,"Parker, Gilbert",The Right of Way
1902,"Doyle, A. Conan",The Hound of the Baskervilles
1902,"Tarkington, Booth",The Two Vanrevels
1902,"van Dyke, Henry",The Blue Flower
1902,"Malet, Lucas",Sir Richard Calmady
1903,"Ward, Mary Augusta",Lady Rose's Daughter
1903,"Page, Thomas Nelson",Gordon Keith
1903,"Norris, Frank",The Pit
1903,"Rice, Alice Hegan",Lovey Mary
1903,"Wister, Owen",The Virginian
1903,"Rice, Alice Hegan",Mrs. Wiggs of the Cabbage Patch
1903,"Allen, James Lane",The Mettle of the Pasture
1903,"Lorimer, George Horace",Letters of a Self-Made Merchant to His Son
1903,"Dixon, Thomas Jr.",The One Woman
1903,"Fox, John Jr.",The Little Shepherd of Kingdom Come
1904,"Churchill, Winston",The Crossing
1904,"Glasgow, Ellen",The Deliverance
1904,"Thurston, Katherine Cecil",The Masquerader
1904,"Michelson, Miriam",In the Bishop's Carriage
1904,"Johnston, Mary",Sir Mortimer
1904,"McCutcheon, George Barr",Beverly of Graustark
1904,"Fox, John Jr.",The Little Shepherd of Kingdom Come
1904,"Wiggin, Kate Douglas",Rebecca of Sunnybrook Farm
1904,"Harland, Henry",My Friend Prospero
1904,"White, Stewart Edward",The Silent Places
1905,"Ward, Mary Augusta",The Marriage of William Ashe
1905,"Rice, Alice Hegan",Sandy
1905,"Hichens, Robert",The Garden of Allah
1905,"Dixon, Thomas Jr.",The Clansman
1905,"McCutcheon, George Barr",Nedra
1905,"Thurston, Katherine Cecil",The Gambler
1905,"Thurston, Katherine Cecil",The Masquerader
1905,"Wharton, Edith",The House of Mirth
1905,"Williamson, C. N. and A. M.",The Princess Passes
1905,"Wiggin, Kate Douglas",Rose o' the River
1906,"Churchill, Winston",Coniston
1906,"Wister, Owen",Lady Baltimore
1906,"Chambers, Robert W.",The Fighting Chance
1906,"Nicholson, Meredith",The House of a Thousand Candles
1906,"McCutcheon, George Barr",Jane Cable
1906,"Sinclair, Upton",The Jungle
1906,"Deland, Margaret",The Awakening of Helena Ritchie
1906,"Beach, Rex",The Spoilers
1906,"Wharton, Edith",The House of Mirth
1906,"Glasgow, Ellen",The Wheel of Life
1907,"Little, Frances",The Lady of the Decoration
1907,"Parker, Gilbert",The Weavers
1907,"Nicholson, Meredith",The Port of Missing Men
1907,"Burnett, Frances Hodgson",The Shuttle
1907,"Vance, Louis J.",The Brass Bowl
1907,"Rives, Hallie Erminie",Satan Sanderson
1907,"McCutcheon, George Barr",The Daughter of Anderson Crow
1907,"Chambers, Robert W.",The Younger Set
1907,"Connor, Ralph",The Doctor
1907,"MacGrath, Harold",Half a Rogue
1908,"Churchill, Winston",Mr. Crewe's Career
1908,"Beach, Rex",The Barrier
1908,"Fox, John Jr.",The Trail of the Lonesome Pine
1908,"MacGrath, Harold",The Lure of the Mask
1908,"Burnett, Frances Hodgson",The Shuttle
1908,"Smith, F. Hopkinson",Peter
1908,"Johnston, Mary",Lewis Rand
1908,"Vance, Louis J.",The Black Bag
1908,"McCutcheon, George Barr",The Man from Brodney's
1908,"Parker, Gilbert",The Weavers
1909,"King, Basil",The Inner Shrine
1909,"Lane, Elinor Macartney",Katrine
1909,"Beach, Rex",The Silver Horde
1909,"Rinehart, Mary Roberts",The Man in Lower Ten
1909,"Fox, John Jr.",The Trail of the Lonesome Pine
1909,"McCutcheon, George Barr",Truxton King
1909,"Hough, Emerson",54-40 or Fight
1909,"MacGrath, Harold",The Goose Girl
1909,"Smith, F. Hopkinson",Peter
1909,"Locke, William J.",Septimus
1910,"Barclay, Florence",The Rosary
1910,"Churchill, Winston",A Modern Chronicle
1910,"King, Basil",The Wild Olive
1910,"Thurston, Katherine Cecil",Max
1910,"Rives, Hallie Erminie",The Kingdom of Slender Swords
1910,"Locke, William J.",Simon the Jester
1910,"Williamson, C. N. and A. M.",Lord Loveland Discovers America
1910,"Rinehart, Mary Roberts",The Window at the White Cat
1910,"Abbott, Eleanor",Molly Make-Believe
1910,"Rinehart, Mary Roberts",When a Man Marries
1911,"Farnol, Jeffrey",The Broad Highway
1911,"Kester, Vaughan",The Prodigal Judge
1911,"Wright, Harold Bell",The Winning of Barbara Worth
1911,"Harrison, Henry Sydnor",Queed
1911,"Porter, Gene Stratton",The Harvester
1911,"Deland, Margaret",The Iron Woman
1911,"Johnston, Mary",The Long Roll
1911,"Abbott, Eleanor",Molly Make-Believe
1911,"Barclay, Florence",The Rosary
1911,"Chambers, Robert W.",The Common Law
1912,"Porter, Gene Stratton",The Harvester
1912,"King, Basil",The Street Called Straight
1912,"Wright, Harold Bell",Their Yesterdays
1912,"Daviess, Maria Thompson",The Melting of Molly
1912,"Nicholson, Meredith",A Hoosier Chronicle
1912,"Wright, Harold Bell",The Winning of Barbara Worth
1912,"Kester, Vaughan",The Just and the Unjust
1912,"Beach, Rex",The Net
1912,"Sedgwick, Anne Douglas",Tante
1912,"Ellis, J. Breckenridge",Fran
1913,"Churchill, Winston",The Inside of the Cup
1913,"Harrison, Henry Sydnor",V. V.'s Eyes
1913,"Porter, Gene Stratton",Laddie
1913,"Parker, Sir Gilbert",The Judgment House
1913,"Fox, John Jr.",Heart of the Hills
1913,"Farnol, Jeffrey",The Amateur Gentleman
1913,"Caine, Hall",The Woman Thou Gavest Me
1913,"Porter, Eleanor H.",Pollyanna
1913,"Rives, Hallie Erminie",The Valiants of Virginia
1913,"Burnett, Frances Hodgson",T. Tembarom
1914,"Wright, Harold Bell",The Eyes of the World
1914,"Porter, Eleanor H.",Pollyanna
1914,"Churchill, Winston",The Inside of the Cup
1914,"Johnson, Owen",The Salamander
1914,"Locke, William J.",The Fortunate Youth
1914,"Burnett, Frances Hodgson",T. Tembarom
1914,"Tarkington, Booth",Penrod
1914,"Dalrymple, Leona",Diane of the Green Van
1914,"Maxwell, W. B.",The Devil's Garden
1914,"McCutcheon, George Barr",The Prince of Graustark
1915,"Tarkington, Booth",The Turmoil
1915,"Churchill, Winston",A Far Country
1915,"Porter, Gene Stratton",Michael O'Halloran
1915,"Porter, Eleanor H.",Pollyanna Grows Up
1915,"Rinehart, Mary Roberts",K
1915,"Locke, William J.",Jaffery
1915,"Smith, F. Hopkinson",Felix O'Day
1915,"Poole, Ernest",The Harbor
1915,"Grey, Zane",The Lone Star Ranger
1915,"Harrison, Henry Sydnor",Angela's Business
1916,"Tarkington, Booth",Seventeen
1916,"Wright, Harold Bell",When a Man's a Man
1916,"Porter, Eleanor H.",Just David
1916,"Wells, H. G.",Mr. Britling Sees It Through
1916,"Glasgow, Ellen",Life and Gabriella
1916,"Webster, Henry Kitchell",The Real Adventure
1916,"Dell, Ethel M.",Bars of Iron
1916,"Spearman, Frank H.",Nan of Music Mountain
1916,"Webster, Jean",Dear Enemy
1916,"Norris, Kathleen",The Heart of Rachael
1917,"Wells, H. G.",Mr. Britling Sees It Through
1917,"Bacheller, Irving",The Light in the Clearing
1917,"Locke, William J.",The Red Planet
1917,"Porter, Eleanor H.",The Road to Understanding
1917,"Grey, Zane",Wildfire
1917,"Cholmondeley, Alice",Christine
1917,"Hichens, Robert S.",In the Wilderness
1917,"Poole, Ernest",His Family
1917,"Farnol, Jeffrey",The Definite Object
1917,"Dell, Ethel M.",The Hundredth Chance
1918,"Grey, Zane",The U. P. Trail
1918,"Sinclair, May",The Tree of Heaven
1918,"Rinehart, Mary Roberts",The Amazing Interlude
1918,"Streeter, Edward",Dere Mable
1918,"Porter, Eleanor H.","Oh, Money! Money!"
1918,"Dell, Ethel M.",Greatheart
1918,"Connor, Ralph",The Major
1918,"Oppenheim, E. Phillips",The Pawns Count
1918,"Porter, Gene Stratton",A Daughter of the Land
1918,"McKenna, Stephen",Sonia
1919,"Ibanez, V. Blasco",The Four Horsemen of the Apocalypse
1919,"Conrad, Joseph",The Arrow of Gold
1919,"Grey, Zane",The Desert of Wheat
1919,"Rinehart, Mary Roberts",Dangerous Days
1919,"Connor, Ralph",The Sky Pilot in No Man's Land
1919,"Wright, Harold Bell",The Re-Creation of Brian Kent
1919,"Porter, Gene Stratton",Dawn
1919,"Bailey, Temple",The Tin Soldier
1919,"""Elizabeth""",Christopher and Columbus
1919,"Chambers, Robert W.",In Secret
1920,"Grey, Zane",The Man of the Forest
1920,"Kyne, Peter B.",Kindred of the Dust
1920,"Wright, Harold Bell",The Re-Creation of Brian Kent
1920,"Curwood, James Oliver",The River's End
1920,"Bacheller, Irving",A Man for the Ages
1920,"Porter, Eleanor H.",Mary-Marie
1920,"Lincoln, Joseph C.",The Portygee
1920,"Oppenheim, E. Phillips",The Great Impersonation
1920,"Dell, Ethel M.",The Lamp in the Desert
1920,"Norris, Kathleen",Harriet and the Piper
1921,"Lewis, Sinclair",Main Street
1921,"Canfield, Dorothy",The Brimming Cup
1921,"Grey, Zane",The Mysterious Rider
1921,"Wharton, Edith",The Age of Innocence
1921,"Curwood, James Oliver",The Valley of Silent Men
1921,"Hull, Edith M.",The Sheik
1921,"Rinehart, Mary Roberts",A Poor Wise Man
1921,"Porter, Gene Stratton",Her Father's Daughter
1921,"Atherton, Gertrude",The Sisters-in-Law
1921,"Dawson, Coningsby",The Kingdom Round the Corner
1922,"Hutchinson, A.S.M.",If Winter Comes
1922,"Hull, Edith M.",The Sheik
1922,"Tarkington, Booth",Gentle Julia
1922,"Burnett, Frances Hodgson",The Head of the House of Coombe
1922,"Keable, Robert",Simon Called Peter
1922,"Rinehart, Mary Roberts",The Breaking Point
1922,"Hutchinson, A.S.M.",This Freedom
1922,"Hemon, Louis",Maria Chapdelaine
1922,"Grey, Zane",To the Last Man
1922,"Lewis, Sinclair",Babbitt
1922,"Wright, Harold Bell",Helen of the Old House
1923,"Atherton, Gertrude",Black Oxen
1923,"Train, Arthur",His Children's Children
1923,"""Elizabeth""",The Enchanted April
1923,"Lewis, Sinclair",Babbitt
1923,"Bailey, Temple",The Dim Lantern
1923,"Hutchinson, A.S.M.",This Freedom
1923,"Wright, Harold Bell",The Mine with the Iron Door
1923,"Grey, Zane",The Wanderer of the Wasteland
1923,"Sabatini, Rafael",The Sea-Hawk
1923,"Rinehart, Mary Roberts",The Breaking Point
1924,"Ferber, Edna",So Big
1924,"Marks, Percy",The Plastic Age
1924,"Sedgwick, Anne Douglas",The Little French Girl
1924,"Gibbs, Philip",The Heirs Apparent
1924,"Curwood, James Oliver",A Gentleman of Courage
1924,"Grey, Zane",The Call of the Canyon
1924,"Tarkington, Booth",The Midlander
1924,"Dawson, Coningsby",The Coast of Folly
1924,"Sabatini, Rafael",Mistress Wilding
1924,"Fisher, Dorothy Canfield",The Homemaker
1925,"Gibbs, A. Hamilton",Soundings
1925,"Kennedy, Margaret",The Constant Nymph
1925,"Porter, Gene Stratton",The Keeper of the Bees
1925,"Barrington, E.",Glorious Apollo
1925,"Arlen, Michael",The Green Hat
1925,"Sedgwick, Anne Douglas",The Little French Girl
1925,"Lewis, Sinclair",Arrowsmith
1925,"Parrish, Anne",The Perennial Bachelor
1925,"Sabatini, Rafael",The Carolinian
1925,"Hutchinson, A.S.M.",One Increasing Purpose
1926,"Erskine, John",The Private Life of Helen of Troy
1926,"Loos, Anita",Gentlemen Prefer Blondes
1926,"Deeping, Warwick",Sorrell and Son
1926,"Thompson, Sylvia",The Hounds of Spring
1926,"Wren, P. C.",Beau Sabreur
1926,"Galsworthy, John",The Silver Spoon
1926,"Wren, P. C.",Beau Geste
1926,"Ferber, Edna",Show Boat
1926,"Ertz, Susan",After Noon
1926,"Bailey, Temple",The Blue Window
1927,"Lewis, Sinclair",Elmer Gantry
1927,"Tarkington, Booth",The Plutocrat
1927,"Deeping, Warwick",Doomsday
1927,"Deeping, Warwick",Sorrell and Son
1927,"de la Roche, Mazo",Jalna
1927,"Rinehart, Mary Roberts",Lost Ecstasy
1927,"Wharton, Edith",Twilight Sleep
1927,"Parrish, Anne",Tomorrow Morning
1927,"Sedgwick, Anne Douglas",The Old Countess
1927,"Bromfield, Louis",A Good Woman
1928,"Wilder, Thornton",The Bridge of San Luis Rey
1928,"Walpole, Hugh",Wintersmoon
1928,"Galsworthy, John",Swan Song
1928,"Van Dine, S. S.",The Greene Murder Case
1928,"Delmar, Vina",Bad Girl
1928,"Tarkington, Booth",Claire Ambler
1928,"Deeping, Warwick",Old Pybus
1928,"Parrish, Anne",All Kneeling
1928,"de la Roche, Mazo",Jalna
1928,"Bromfield, Louis",The Strange Case of Miss Annie Spragg
1929,"Remarque, Erich Maria",All Quiet on the Western Front
1929,"Lewis, Sinclair",Dodsworth
1929,"Sedgwick, Anne Douglas",Dark Hester
1929,"Van Dine, S. S.",The Bishop Murder Case
1929,"Deeping, Warwick",Roper's Row
1929,"Rolvaag, O. E.",Peder Victorious
1929,"Heyward, DuBose",Mamba's Daughters
1929,"Ertz, Susan",The Galaxy
1929,"Peterkin, Julia",Scarlet Sister Mary
1929,"Freeman, H. W.",Joseph and His Brethren
1930,"Ferber, Edna",Cimarron
1930,"Deeping, Warwick",Exile
1930,"Wilder, Thornton",The Woman of Andros
1930,"Barnes, Margaret Ayer",Years of Grace
1930,"Priestley, J. B.",Angel Pavement
1930,"Rinehart, Mary Roberts",The Door
1930,"Walpole, Hugh",Rogue Herries
1930,"Gibbs, A. Hamilton",Chances
1930,"Brush, Katharine",Young Man of Manhattan
1930,"Bromfield, Louis",Twenty-Four Hours
1931,"Buck, Pearl S.",The Good Earth
1931,"Cather, Willa",Shadows on the Rock
1931,"Aldrich, Bess Streeter",A White Bird Flying
1931,"Baum, Vicki",Grand Hotel
1931,"Barnes, Margaret Ayer",Years of Grace
1931,"Remarque, Erich Maria",The Road Back
1931,"Deeping, Warwick",The Bridge of Desire
1931,"Hurst, Fannie",Back Street
1931,"de la Roche, Mazo",Finch's Fortune
1931,"Galsworthy, John",Maid in Waiting
1932,"Buck, Pearl S.",The Good Earth
1932,"Morgan, Charles",The Fountain
1932,"Buck, Pearl S.",Sons
1932,"Golding, Louis",Magnolia Street
1932,"Glasgow, Ellen",The Sheltered Life
1932,"Deeping, Warwick",Old Wine and New
1932,"Tarkington, Booth",Mary's Neck
1932,"Douglas, Lloyd C.",Magnificent Obsession
1932,"Bentley, Phyllis",Inheritance
1932,"Cronin, A. J.",Three Loves
1933,"Allen, Hervey",Anthony Adverse
1933,"Carroll, Gladys Hasty",As the Earth Turns
1933,"Lewis, Sinclair",Ann Vickers
1933,"Douglas, Lloyd C.",Magnificent Obsession
1933,"Galsworthy, John",One More River
1933,"Douglas, Lloyd C.",Forgive Us Our Trespasses
1933,"de la Roche, Mazo",The Master of Jalna
1933,"Aldrich, Bess Streeter",Miss Bishop
1933,"Bromfield, Louis",The Farm
1933,"Fallada, Hans","Little Man, What Now?"
1934,"Allen, Hervey",Anthony Adverse
1934,"Miller, Caroline",Lamb in His Bosom
1934,"Young, Stark",So Red the Rose
1934,"Hilton, James","Good-Bye, Mr. Chips"
1934,"Barnes, Margaret Ayer",Within This Present
1934,"Lewis, Sinclair",Work of Art
1934,"Bottome, Phyllis",Private Worlds
1934,"Chase, Mary Ellen",Mary Peters
1934,"Hobart, Alice Tisdale",Oil for the Lamps of China
1934,"Dinesen, Isak",Seven Gothic Tales
1935,"Douglas, Lloyd C.",Green Light
1935,"Glasgow, Ellen",Vein of Iron
1935,"Wolfe, Thomas",Of Time and the River
1935,"Field, Rachel",Time Out of Mind
1935,"Hilton, James","Good-Bye, Mr. Chips"
1935,"Werfel, Franz",The Forty Days of Musa Dagh
1935,"Wilder, Thornton",Heaven's My Destination
1935,"Hilton, James",Lost Horizon
1935,"Ferber, Edna",Come and Get It
1935,"Briffault, Robert",Europa
1936,"Mitchell, Margaret",Gone with the Wind
1936,"Santayana, George",The Last Puritan
1936,"Morgan, Charles",Sparkenbroke
1936,"Edmonds, Walter D.",Drums Along the Mohawk
1936,"Lewis, Sinclair",It Can't Happen Here
1936,"Douglas, Lloyd C.",White Banners
1936,"Nordhoff, Charles, and James Norman Hall",The Hurricane
1936,"West, Rebecca",The Thinking Reed
1936,"Rinehart, Mary Roberts",The Doctor
1936,"Huxley, Aldous",Eyeless in Gaza
1937,"Mitchell, Margaret",Gone with the Wind
1937,"Roberts, Kenneth",Northwest Passage
1937,"Cronin, A. J.",The Citadel
1937,"Wilkins, Vaughan",And So-Victoria
1937,"Edmonds, Walter D.",Drums Along the Mohawk
1937,"Woolf, Virginia",The Years
1937,"Maugham, W. Somerset",Theatre
1937,"Steinbeck, John",Of Mice and Men
1937,"Bromfield, Louis",The Rains Came
1937,"Hilton, James",We Are Not Alone
1938,"Rawlings, Marjorie Kinnan",The Yearling
1938,"Cronin, A. J.",The Citadel
1938,"Spring, Howard","My Son, My Son!"
1938,"du Maurier, Daphne",Rebecca
1938,"Roberts, Kenneth",Northwest Passage
1938,"Field, Rachel","All This, and Heaven Too"
1938,"Bromfield, Louis",The Rains Came
1938,"Krey, Laura",And Tell of Time
1938,"Bottome, Phyllis",The Mortal Storm
1938,"Allen, Hervey",Action at Aquila
1939,"Steinbeck, John",The Grapes of Wrath
1939,"Field, Rachel","All This, and Heaven Too"
1939,"du Maurier, Daphne",Rebecca
1939,"Marquand, John P.",Wickford Point
1939,"Vance, Ethel",Escape
1939,"Douglas, Lloyd C.",Disputed Passage
1939,"Rawlings, Marjorie Kinnan",The Yearling
1939,"Page, Elizabeth",The Tree of Liberty
1939,"Asch, Sholem",The Nazarene
1939,"Morley, Christopher",Kitty Foyle
1940,"Llewellyn, Richard",How Green Was My Valley
1940,"Morley, Christopher",Kitty Foyle
1940,"Struther, Jan",Mrs. Miniver
1940,"Hemingway, Ernest",For Whom the Bell Tolls
1940,"Asch, Sholem",The Nazarene
1940,"Mason, F. van Wyck",Stars on the Sea
1940,"Roberts, Kenneth",Oliver Wiswell
1940,"Steinbeck, John",The Grapes of Wrath
1940,"Bromfield, Louis",Night in Bombay
1940,"Fedorova, Nina",The Family
1941,"Cronin, A. J.",The Keys of the Kingdom
1941,"Hilton, James",Random Harvest
1941,"Knight, Eric",This Above All
1941,"Steen, Marguerite",The Sun Is My Undoing
1941,"Hemingway, Ernest",For Whom the Bell Tolls
1941,"Roberts, Kenneth",Oliver Wiswell
1941,"Marquand, John P.","H. M. Pulham, Esquire"
1941,"Rorick, Isabel Scott",Mr. and Mrs. Cugat
1941,"Ferber, Edna",Saratoga Trunk
1941,"Chase, Mary Ellen",Windswept
1942,"Werfel, Franz",The Song of Bernadette
1942,"Steinbeck, John",The Moon Is Down
1942,"Buck, Pearl S.",Dragon Seed
1942,"Field, Rachel",And Now Tomorrow
1942,"Pickett, Elizabeth",Drivin' Woman
1942,"Chase, Mary Ellen",Windswept
1942,"Douglas, Lloyd C.",The Robe
1942,"Steen, Marguerite",The Sun Is My Undoing
1942,"Bellamann, Henry",Kings Row
1942,"Cronin, A. J.",The Keys of the Kingdom
1943,"Douglas, Lloyd C.",The Robe
1943,"Davenport, Marcia",The Valley of Decision
1943,"Marquand, John P.",So Little Time
1943,"Smith, Betty",A Tree Grows in Brooklyn
1943,"Saroyan, William",The Human Comedy
1943,"Bromfield, Louis",Mrs. Parkington
1943,"Asch, Sholem",The Apostle
1943,"du Maurier, Daphne",Hungry Hill
1943,"Allen, Hervey",The Forest and the Fort
1943,"Werfel, Franz",The Song of Bernadette
1944,"Smith, Lillian",Strange Fruit
1944,"Douglas, Lloyd C.",The Robe
1944,"Smith, Betty",A Tree Grows in Brooklyn
1944,"Winsor, Kathleen",Forever Amber
1944,"Maugham, W. Somerset",The Razor's Edge
1944,"Cronin, A. J.",The Green Years
1944,"Williams, Ben Ames",Leave Her to Heaven
1944,"Goudge, Elizabeth",Green Dolphin Street
1944,"Hersey, John",A Bell for Adano
1944,"Asch, Sholem",The Apostle
1945,"Winsor, Kathleen",Forever Amber
1945,"Douglas, Lloyd C.",The Robe
1945,"Costain, Thomas B.",The Black Rose
1945,"Ullman, James Ramsey",The White Tower
1945,"Lewis, Sinclair",Cass Timberlane
1945,"Langley, Adria Locke",A Lion Is in the Streets
1945,"Hilton, James",So Well Remembered
1945,"Shellabarger, Samuel",Captain from Castile
1945,"Graham, Gwethalyn",Earth and High Heaven
1945,"Stone, Irving",Immortal Wife
1946,"du Maurier, Daphne",The King's General
1946,"Caldwell, Taylor",This Side of Innocence
1946,"Keyes, Frances Parkinson",The River Road
1946,"Janney, Russell",The Miracle of the Bells
1946,"Wakeman, Frederic",The Hucksters
1946,"Yerby, Frank",The Foxes of Harrow
1946,"Remarque, Erich Maria",Arch of Triumph
1946,"Costain, Thomas B.",The Black Rose
1946,"Marquand, John P.",B. F.'s Daughter
1946,"Ward, Mary Jane",The Snake Pit
1947,"Janney, Russell",The Miracle of the Bells
1947,"Costain, Thomas B.",The Moneyman
1947,"Hobson, Laura Z.",Gentleman's Agreement
1947,"Roberts, Kenneth",Lydia Bailey
1947,"Yerby, Frank",The Vixens
1947,"Steinbeck, John",The Wayward Bus
1947,"Williams, Ben Ames",House Divided
1947,"Lewis, Sinclair",Kingsblood Royal
1947,"Davenport, Marcia","East Side, West Side"
1947,"Shellabarger, Samuel",Prince of Foxes
1948,"Douglas, Lloyd C.",The Big Fisherman
1948,"Mailer, Norman",The Naked and the Dead
1948,"Keyes, Frances Parkinson",Dinner at Antoine's
1948,"Turnbull, Agnes Sligh",The Bishop's Mantle
1948,"Smith, Betty",Tomorrow Will Be Better
1948,"Yerby, Frank",The Golden Hawk
1948,"Lockridge, Ross Jr.",Raintree County
1948,"Cronin, A. J.",Shannon's Way
1948,"Goudge, Elizabeth",Pilgrim's Inn
1948,"Shaw,Irwin",The Young Lions
1949,"Waltari, Mika",The Egyptian
1949,"Douglas, Lloyd C.",The Big Fisherman
1949,"Asch, Sholem",Mary
1949,"O'Hara, John",A Rage to Live
1949,"Marquand, John P.",Point of No Return
1949,"Keyes, Frances Parkinson",Dinner at Antoine's
1949,"Costain, Thomas B.",High Towers
1949,"Mason, Van Wyck",Cutlass Empire
1949,"Yerby, Frank",Pride's Castle
1949,"Streeter, Edward",Father of the Bride
1950,"Robinson, Henry Morton",The Cardinal
1950,"Keyes, Frances Parkinson",Joy Street
1950,"Hemingway, Ernest",Across the River and into the Trees
1950,"Hersey, John",The Wall
1950,"Winsor, Kathleen",Star Money
1950,"du Maurier, Daphne",The Parasites
1950,"Yerby, Frank",Floodtide
1950,"Bristow, Gwen",Jubilee Trail
1950,"Waltari, Mika",The Adventurer
1950,"Schulberg, Budd",The Disenchanted
1951,"Jones, James",From Here to Eternity
1951,"Wouk, Herman",The Caine Mutiny
1951,"Asch, Sholem",Moses
1951,"Robinson, Henry Morton",The Cardinal
1951,"Yerby, Frank",A Woman Called Fancy
1951,"Monsarrat, Nicholas",The Cruel Sea
1951,"Marquand, John P.","Melville Goodwin, U.S.A."
1951,"Michener, James A.",Return to Paradise
1951,"Spellman, Cardinal",The Foundling
1951,"Waltari, Mika",The Wanderer
1952,"Costain, Thomas B.",The Silver Chalice
1952,"Wouk, Herman",The Caine Mutiny
1952,"Steinbeck, John",East of Eden
1952,"du Maurier, Daphne",My Cousin Rachel
1952,"Keyes, Frances Parkinson",Steamboat Gothic
1952,"Ferber, Edna",Giant
1952,"Hemingway, Ernest",The Old Man and the Sea
1952,"Turnbull, Agnes Sligh",The Gown of Glory
1952,"Yerby, Frank",The Saracen Blade
1952,"Spring, Howard",The Houses in Between
1953,"Douglas, Lloyd C.",The Robe
1953,"Costain, Thomas B.",The Silver Chalice
1953,"Selinko, Annemarie",Desiree
1953,"Uris, Leon",Battle Cry
1953,"Jones, James",From Here to Eternity
1953,"Gann, Ernest K.",The High and the Mighty
1953,"Cronin, A. J.",Beyond This Place
1953,"Hilton, James",Time and Time Again
1953,"Shellabarger, Samuel",Lord Vanity
1953,"Williams, Ben Ames",The Unconquered
1954,"Thompson, Morton",Not as a Stranger
1954,"du Maurier, Daphne",Mary Anne
1954,"Stone, Irving",Love Is Eternal
1954,"Keyes, Frances Parkinson",The Royal Box
1954,"Waltari, Mika",The Egyptian
1954,"Hyman, Mac",No Time for Sergeants
1954,"Steinbeck, John",Sweet Thursday
1954,"Basso, Hamilton",The View from Pompey's Head
1954,"Caldwell, Taylor","Never Victorious, Never Defeated"
1954,"Yerby, Frank",Benton's Row
1955,"Wouk, Herman",Marjorie Morningstar
1955,"Dennis, Patrick",Auntie Mame
1955,"Kantor, MacKinlay",Andersonville
